	Cancer_011	Cancer_012	Cancer_013	Cancer_014	Cancer_015	Cancer_016	Cancer_017	Cancer_019	Cancer_020	Cancer_022	Cancer_023	Cancer_024	Cancer_025	Cancer_026	Cancer_027	Cancer_028	Cancer_029	Cancer_030	Cancer_031	Cancer_032	Cancer_033	Cancer_034	Cancer_035	Cancer_036	Cancer_037	Cancer_038	Cancer_039	Cancer_040	Cancer_041	Cancer_042	Cancer_043	Cancer_044	Cancer_045	Cancer_046	Cancer_047	Cancer_048	Healthy_001	Healthy_002	Healthy_003	Healthy_004	Healthy_005	Healthy_006	Healthy_007	Healthy_008	Healthy_010
hsa-miR-6508-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
hsa-miR-6509-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6509-5p	1	3	1	1	2	0	3	6	3	4	1	5	0	0	0	2	0	0	0	0	0	3	2	15	6	0	17	0	0	1	6	0	0	3	2	1	0	0	0	2	6	0	0	0	0
hsa-miR-651-5p	2	4	2	0	10	0	8	4	2	8	0	12	4	0	0	2	0	0	0	0	0	0	0	3	8	0	5	0	2	5	6	0	1	0	5	0	2	0	1	0	4	5	1	2	0
hsa-miR-6510-5p	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6511a-3p	19.58	17.75	15.5	12.67	31.5	2.75	12.5	8.5	9.5	25.25	12.75	21.75	2	3.75	1.25	7.5	2.75	2.25	9	1.75	8.75	13.75	14.25	24.5	21.25	6.75	62.25	15.75	6.25	12	55	1.5	7.75	9.75	6.25	7.5	6.17	7.5	12.5	8.5	12.25	19.5	9.75	6.75	4.75
hsa-miR-6511a-5p	1.33	1.33	0.33	0.17	2.5	0.5	0.83	0.5	0.33	1.67	0	1.33	0	0.33	0	0.33	0	0	0	0	0	0	0	0.17	0.33	0	1.5	0	0	0	4.83	0	0.17	0	0.33	0	0.33	0	0.83	0.17	1.33	0.5	0.17	0	0
hsa-miR-6511b-3p	26.83	23	16	17.67	48.5	6.5	21	18	18.5	45	12.5	23	5	2.5	2	13	3	8.5	2.5	0	12	15	27	44.5	29	3	84.5	16	4.5	9	76	3.5	2.5	4	12	11.5	8.67	23	32.5	12.5	19	39.5	30	16.5	9.5
hsa-miR-6511b-5p	1.33	1.33	0.33	0.17	2.5	0.5	1.33	0.5	0.33	1.67	0	1.33	0	0.33	0	0.33	0	0	0	0	0	0	0	0.17	0.33	0	1.5	0	0	0	5.83	0	0.17	0	0.33	0	0.33	0	0.83	0.17	1.83	1.5	0.17	0.5	0.5
hsa-miR-6512-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6513-3p	29	16	11	11	19	3	5	3	9	14	5	1	1	0	0	0	0	0	0	2	1	0	11	16	10	0	31	5	0	2	14	2	4	4	0	3	2	7	9	5	22	17	9	12	4
hsa-miR-6513-5p	7	7	5	0	11	4	4	2	5	4	13	13	0	0	3	4	0	0	5	0	4	6	7	5	10	0	23	1	0	0	12	0	1	1	0	2	2	2	4	1	0	9	6	1	0
hsa-miR-6514-5p	7	16	3	4	4	0	0	2	2	11	5	5	0	0	0	0	0	1	0	0	0	0	4	12	2	1	7	0	0	1	4	0	0	5	6	0	1	1	2	2	2	16	4	0	0
hsa-miR-6515-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6515-5p	7	5	1	2	8	1	2	2	9	6	4	11	0	0	0	5	0	0	0	1	3	0	0	18	11	0	24	1	0	9	50	0	3	0	4	6	0	2	3	0	3	1	3	0	0
hsa-miR-6516-3p	4	3	0	0	0	0	0	0	1	3	3	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	1	1	0	0	2	6	4	2	0
hsa-miR-6516-5p	15	18	2	3	17	3	11	5	8	14	2	7	0	0	0	0	0	1	0	1	0	0	0	13	12	0	49	0	0	2	30	0	0	4	1	4	2	6	7	2	14	19	4	1	3
hsa-miR-652-3p	454	565	161	179	918	42	337	269	287	423	184	386	27	11	15	86	13	46	35	25	97	66	149	349	270	28	916	68	36	85	796	41	38	65	94	107	157	205	286	129	334	506	193	89	99
hsa-miR-652-5p	18	9	5	4	20	3	10	11	19	8	1	4	0	0	0	2	0	1	0	0	2	6	0	6	3	0	12	0	0	0	15	1	0	0	4	3	5	7	11	6	15	15	10	6	11
hsa-miR-653-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-654-3p	1781	439	116	794	1343	100	100	525	617	824	250	575	38	29	17	145	17	35	105	69	159	203	189	1410	1241	70	2062	136	52	181	290	19	28	428	137	503	708	510	341	202	1124	1632	789	402	307
hsa-miR-654-5p	126	44	13	60	176	7	6	78	60	168	12	110	5	1	14	26	3	9	12	25	10	104	24	276	179	3	466	29	5	19	40	2	3	51	17	36	47	26	40	20	104	85	51	16	20
hsa-miR-655-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0
hsa-miR-655-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-656-3p	36	2	0	15	26	0	1	16	15	13	3	8	0	0	0	0	0	1	0	1	1	1	0	3	13	0	19	0	0	0	5	0	0	5	0	5	15	11	3	2	12	17	33	8	10
hsa-miR-656-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-658	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
hsa-miR-659-3p	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	4	0	0	0
hsa-miR-659-5p	0	4	0	0	1	0	0	3	4	4	2	2	0	0	0	3	0	0	13	0	0	3	5	3	3	0	12	1	0	6	10	1	1	2	4	4	2	5	0	0	2	3	0	0	0
hsa-miR-660-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	2	8	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-660-5p	34	81	27	37	57	13	113	51	39	118	78	95	17	4	1	41	9	12	32	17	28	67	222	185	90	24	141	36	12	114	179	28	28	33	40	83	17	71	39	25	60	99	86	32	31
hsa-miR-664a-3p	109	79	11	30	113	5	48	48	48	43	52	61	1	1	0	16	3	10	2	10	44	15	25	58	78	4	137	8	3	4	63	1	8	27	4	19	45	59	51	17	29	114	111	37	30
hsa-miR-664a-5p	54	114	6	15	170	1	19	35	22	34	17	80	1	1	3	2	1	0	2	0	4	2	2	51	44	6	236	6	2	1	110	7	4	5	5	1	24	23	50	11	46	77	17	9	15
hsa-miR-664b-3p	1	2	2	0	1	0	0	0	0	2	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	0	0	1	1	0	0	2	2	1	2
hsa-miR-664b-5p	54	43	8	11	98	0	17	24	19	69	3	115	0	4	0	1	1	0	5	3	4	0	0	43	72	1	149	1	3	3	91	1	3	1	4	1	11	10	49	17	46	39	7	10	10
hsa-miR-665	1	1	0	6	8	0	0	0	1	2	0	0	0	0	0	1	0	1	5	0	1	0	0	0.5	4	0	17	0	0	4	1	0	0	0	0	0	0	1	1	1	1	2	2	0	0
hsa-miR-668-3p	8	1	0	3	16	1	1	14	3	2	2	1	0	5	0	1	2	0	2	3	0	0	0	12	7	0	21	4	3	0	0	0	0	7	9	16	5	4	0	1	22	12	4	5	2
hsa-miR-671-3p	768	704	244	323	1321	89	335	381	426	1153	397	860	54	69	26	297	40	52	134	77	190	353	242	1432	759	130	2071	330	108	303	3280	108	164	259	288	365	298	238	514	186	528	622	251	143	187
hsa-miR-671-5p	30	22	4	20	46	1	7	12	9	19	9	9	0	0	1	7	0	0	4	1	7	2	2	18	14	0	33	0	0	7	75	2	3	6	2	4	14	7	13	2	22	27	8	5	8
hsa-miR-6715b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6716-3p	17	4	2	7	12	0	2	1	6	7	12	12	0	1	0	3	0	2	6	4	0	15	15	16	28	0	59	4	0	3	13	0	0	10	0	0	2	1	9	1	6	13	2	1	1
hsa-miR-6716-5p	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6720-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6721-5p	28	28	6	22	34	3	9	18	32	30	15	56	1	0	1	4	1	0	0	2	9	6	15	32	36	0	82	3	1	4	42	0	2	6	3	3	9	5	25	3	25	20	2	8	7
hsa-miR-6724-5p	1.25	0.25	0.5	0	1.25	0	0.25	0	0	1.25	0.5	0.5	0	0	0.25	0	0	0	0.5	0.25	0	0.5	0	0.5	5.5	0	6.25	0	0	0.5	2.5	0	0	0	0	0.25	0.25	0.5	0.25	0.5	0.25	1.25	0	0.25	0
hsa-miR-6726-3p	0	0	3	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	0	0	0	0	0	0	0	1	1	0	0	0
hsa-miR-6726-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6727-3p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6727-5p	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0	1	0
hsa-miR-6728-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6728-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6729-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0
hsa-miR-6729-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	2	0	0	0	0	0	2	0	0	1	0	4	0	0	0	0	0	2	0	0	0	0
hsa-miR-6730-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6730-5p	0	6	1	3	1	0	3	4	4	4	0	7	0	0	0	0	0	0	0	1	6	0	0	7	2	7	1	0	0	0	3	0	0	0	0	0	0	0	2	2	3	6	0	0	0
hsa-miR-6731-3p	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
hsa-miR-6731-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6732-3p	6	1	3	0	8	3	5	1	1	4	3	4	0	0	0	0	1	1	0	2	2	1	0	11	12	0	15	0	0	0	5	0	1	0	5	3	3	2	4	3	4	3	1	2	2
hsa-miR-6732-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-6734-3p	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0
hsa-miR-6734-5p	27	31	15	12	39	4	8	9	24	12	14	56	0	1	0	9	0	1	0	2	3	1	0	38	87	6	76	1	0	2	51	4	1	14	4	2	15	9	30	14	23	42	6	8	2
hsa-miR-6735-3p	0	5	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6735-5p	32	32	6	8	50	4	16	9	10	28	16	31	4	0	2	8	0	0	5	1	1	4	3	33	32	5	45	7	1	6	60	3	2	5	16	4	14	6	20	5	24	25	9	4	4
hsa-miR-6736-3p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6736-5p	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	10	1	0	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	1
hsa-miR-6737-3p	2	2	0	1	3	0	0	5	0	2	0	0	0	0	2	0	0	0	6	0	0	0	0	14	1	0	4	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	2
hsa-miR-6738-3p	1	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	2	0	0	8	0	0	1	2	1	0	2	0	1	0	0
hsa-miR-6738-5p	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	5	0	0	0	1	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6740-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6741-3p	85	60	19	45	95	8	24	54	42	148	70	124	11	15	5	43	14	21	32	11	38	34	69	128	77	11	248	51	15	52	346	3	19	82	29	52	23	25	56	27	62	94	28	21	27
hsa-miR-6741-5p	8	10	3	0	8	0	3	3	1	4	0	8	0	0	0	3	0	0	0	0	0	0	0	5	2	0	16	0	0	2	23	2	0	0	0	1	1	6	2	5	6	3	2	2	0
hsa-miR-6742-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6742-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-6743-3p	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	0	0	0
hsa-miR-6743-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6746-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	8	0	0	0	0	2	2	0	0	0
hsa-miR-6746-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6747-3p	1	1	1	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	2	0	2	0	2	2	0	2
hsa-miR-6747-5p	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6748-3p	1	0	19	0	0	0	3	1	2	0	0	1	0	0	0	0	0	0	0	2	0	0	13	1	0	0	0	0	6	2	0	4	0	0	0	0	12	1	0	2	1	5	16	1	1
hsa-miR-6748-5p	0	0	0	1	2	0	3	1	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-6749-3p	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6749-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0
hsa-miR-675-3p	0	0	0	0	0	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-675-5p	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
hsa-miR-6750-3p	1	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	1	0	0
hsa-miR-6751-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6751-5p	5	4	0	7	7	0	1	7	2	6	0	8	0	0	0	1	0	0	0	0	0	0	0	1	12	1	35	0	0	1	10	0	0	3	0	0	2	1	5	2	8	4	0	0	3
hsa-miR-6753-5p	4	2	0	2	1.33	0	3	0	1	1	1	7	2	1	0	0	0	0	0	1	0	7	9	2	3	4	12	0	0	4	5	0	4	0	0	4	2	0	1	3	1	1	0	0	0
hsa-miR-6754-3p	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	5	0	0	4	1	4	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
hsa-miR-6754-5p	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6755-5p	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	2	0	0	0	6	0	0	0	0	0	0	1	0	0	0
hsa-miR-6756-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
hsa-miR-6757-5p	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
hsa-miR-6758-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6758-5p	1	2	1	2	3	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	18	0	0	1	3	0	0	0	0	1	1	2	2	2	5	2	4	0	2
hsa-miR-6759-5p	4	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-676-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6761-3p	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6761-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6762-3p	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6763-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
hsa-miR-6763-5p	1	5	3	4	11	0	1	2	0	6	4	22	0	0	0	2	0	0	0	0	4	0	0	10	5	0	24	0	0	2	20	0	0	0	0	0	4	0	3	2	4	3	2	0	0
hsa-miR-6764-3p	3	1	0	0	1	0	1	1	0	2	0	0	0	1	0	0	0	0	1	0	0	1	5	8	0	0	7	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	1	0	0
hsa-miR-6764-5p	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	4	0	3	0	0	0	4	0	0	0	0	0	0	1	0	0	1	1	0	0	0
hsa-miR-6765-3p	12	15	7	9	25	5	25	11	6	20	11	13	8	3	0	21	7	28	6	3	15	127	47	6	13	21	26	35	32	14	9	0	15	10	41	121	19	7	6	15	11	14	26	17	12
hsa-miR-6766-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6766-5p	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6767-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	1	4	0	0	4	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-6769a-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6769a-5p	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	1	0	1	1	0	0	0
hsa-miR-6769b-3p	1	2	0	4	1	0	1	4	1	7	2	10	0	1	0	0	5	1	0	0	0	5	21	3	3	1	6	3	0	0	6	0	2	2	3	8	1	0	0	1	0	7	0	3	3
hsa-miR-6769b-5p	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
hsa-miR-6770-3p	0.67	0.33	1	1	2.67	0	1.33	1.33	1.33	1.33	0	2.67	0	0	0	0	0	0	1.67	0	0	0	1	0.33	2	0	3.67	0	0	1	3.33	0	0	0	0	1	0	0.33	1	0.67	1	1.33	0	0.33	0
hsa-miR-6770-5p	0.67	0	0	0	0	0	0	0.33	0	0	1.33	1	0	0	0	0	0	0	0	0	0.67	0	0	0.33	2.33	0	1.33	0	0	0.33	0	0	0	0	0	0	0	0.33	0.33	0	0.33	0	0	0	0
hsa-miR-6771-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6771-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	11	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6772-3p	23	14	5	3	22	5	7	9	11	44	18	19	0	1	1	6	0	4	2	2	6	15	1	34	13	0	44	8	4	12	50	5	5	18	9	4	6	5	15	8	13	17	7	6	5
hsa-miR-6772-5p	0	0	0	0	2	0	0	4	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0
hsa-miR-6773-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
hsa-miR-6773-5p	2	0	4	1	6	4	2	0	3	0	0	0	4	0	0	0	0	0	0	0	2	6	5	1	0	0	1	0	0	0	2	0	0	0	0	1	2	5	1	3	1	1	2	8	9
hsa-miR-6774-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-6775-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6775-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-6776-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6777-3p	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	3	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0
hsa-miR-6777-5p	5	1	0	0	8	0	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	1	0	1	7	0	0	0	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-6779-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
hsa-miR-6779-5p	1	3	0	0	6	0	0	0	0	0	0.5	4	0	2	0	0	0	0	0	0	0	0	0	0	1	6	12	0	0	0	10	0	2	0	0	0	0	0	2	1	0	1	0	0	0
